City Name	Number of Conferences
Bandar Seri Begawan, Brunei	1
Belgrade, Serbia	1
Beni Suef, Egypt	1
Bergen, Norway	1
Bilbao	1
Bonn, Germany	1
Bragança - Portugal	1
Brindisi	1
British Columbia, Canada	1
Brunei	1
Bucaramanga, Colombia	1
Bucharest, Romania	1
Busan, South Korea	1
Będlewo, Poland	1
California, USA	1
Cape Town, South Africa	1
Cardiff University, UK	1
Chihuahua, México	1
Clare College, Cambridge, UK	1
Clarkson University, Potsdam, NY, USA	1
Cluj-Napoca, Romania	1
Columbia University, New York, USA	1
Constantine- Algerie	1
Copenhagen, Denmark	1
Cotonou, Republic of Benin	1
Covilhã, Portugal	1
Craiova, Romania	1
Cuenca, Ecuador	1
Curitiba, Brazil	1
Cyprus	1
Daegu, South Korea	1
Daejeon, Korea	1
Dalian, China	1
Darmstadt, Germany	1
Dayton, Ohio	1
Delft, The Netherlands	1
Depok, West Java	1
Detroit, USA	1
Dublin, Ireland	1
Egypt	1
Evanston, Illinois	1
Fort Lauderdale, Florida, USA	1
Fort Wayne, IN	1
Fukuoka, Japan	1
Funchal, Madeira, Portugal	1
Gaithersburg, MD, USA	1
Galway, Ireland	1
Geneva , Switzerland	1
Gijón, Spain	1
Gold Coast	1
Greenville, South Carolina, USA	1
Guayaquil, Ecuador	1
Guru Nanak Institutions, Hyderabad, India	1
Haifa, Israel	1
Hammamet, Tunisia	1
Hasselt, Belgium	1
Hatyai, Thailand	1
Heidelberg	1
Heraklion, Crete, Greece	1
Hobart, Australia	1
Hollywood, Florida, USA	1
Houston, Texas, USA	1
Hsinchu City, Taiwan	1
Hue City, Vietnam	1
Incheon, Korea	1
India	1
Indianapolis, IN	1
Indianapolis, USA	1
Instabul, Turkey	1
Institut Teknologi Brunei, Brunei	1
Island of Rhodes, GREECE	1
Issyk Kul, Kyrgyzstan	1
Itaipava - Petropolis, Brazil	1
Jaipur, India	1
Jakarta, Indonesia	1
Kansas City, USA	1
Katmandu, Nepal	1
Kaunas, Lithuania	1
Kazan, Russia	1
Khenchela, Algeria	1
Khon Kaen, Thailand	1
Kobe, Japan	1
Koblenz, Germany	1
Kohala Coast, Hawaii, USA	1
Kolkata, India	1
Krabi, Thailand	1
Lago Di Garda, Trento, Italy	1
Laguna Hills, California	1
Lake Placid, NY, USA.	1
Lappeenranta	1
Larnaca	1
Leiden, The Netherlands	1
Leon Spain	1
Lima, Peru	1
Limerick City, Ireland	1
Lincoln, Nebraska	1
Liverpool, UK	1
Los Cabos, Mexico	1
Lyon, France	1
Madeira	1
Magdeburg, Germany	1
Malang, Indonesia	1
Maratea, Italy	1
Marburg, Germany	1
Mashhad, Iran	1
Massachusetts Institute of Technology	1
Matsue, Japan	1
Menlo Park, CA	1
Mevlana University	1
Minneapolis, MN, USA	1
Montevideo, Uruguay	1
Mountain View, CA, USA	1
Mulhouse, France	1
Mérida, México	1
Nagasaki, Japan	1
Nagoya, Japan	1
Nanchang, Jiangxi, China	1
Nanjing, china	1
Nantes, France	1
Nanyang Technological University	1
New Brunswick, New Jersey, USA	1
New Orleans, USA	1
New Taipei, Taiwan	1
Newcastle, Australia	1
Nîmes	1
Nörten-Hardenberg, Germany	1
Obninsk, Russia	1
Odisha, India	1
Ohrid, Republic of Macedonia	1
Oldenburg, Lower Saxony, Germany	1
Olten, Switzerland	1
Orlando, Florida, USA	1
Ottawa, Canada	1
Ouagadougou, Burkina Faso, West Africa	1
Ouro Preto, Brazil	1
Paderborn, Germany	1
Palais des Congrès Neptune, Toulon, France	1
Palawan, Philippines	1
Panama City, Panama	1
Paris, Villejuif, France	1
Phoenix, Arizona, USA	1
Ploiesti, Romania	1
Portland, Oregon	1
Porto Santo, Madeira, Portugal	1
Portsmouth, UK	1
Potsdam, Germany	1
Poznan, Poland	1
Puebla	1
Puebla, Cholula, Mexico	1
Puerto de la Cruz, Tenerife, Spain	1
Qingdao, Shandong, China	1
Qinhuangdao	1
Quebec, Canada	1
Quito, Ecuador	1
Rabat	1
Reduit, Mauritius	1
Reggio di Calabria	1
Reunion Island	1
Reykjavík, Iceland	1
Roccella Jonica, RC, Italy	1
Rostov-on-Don	1
Rotterdam, Netherlands	1
Rouen	1
Rourkela, Odisha, India	1
Saint-Etienne, France	1
Saint-Petersburg	1
Salamanca	1
San Juan, Puerto Rico	1
Santa Fe, New Mexico, USA.	1
Santorini Island, Greece	1
Savannah, Georgia, USA	1
Shah Alam, Selangor, Malaysia	1
Sharjah, UAE	1
Sinaia, Romania	1
Skopje, Macedonia	1
Soonchunhyang (SCH) University, Asan, Korea	1
South Carolina, USA	1
St. Petersburg, Russia	1
Stanford, CA, USA	1
Stellenbosch, South Africa	1
Stirling, Scotland, UK	1
Stockholm	1
Stonybrook, NY	1
Sturovo, Slovakia	1
Sun Moon Lake, Taiwan	1
Sweden	1
Tainan, Taiwan	1
Takamatsu, Japan	1
Tayih Landis Hotel, Tainan, Taiwan	1
Tehran, Iran	1
Tenerife, Spain	1
The Beskids, Poland	1
The University of British Columbia	1
Thu Dau Mot City, Vietnam	1
Tianjin, China	1
Tirana, Albania	1
Torino/Turin, Italy	1
Toronto, Canada	1
Trier, Germany	1
Tromsø, Norway	1
Tumkur	1
Tunisia	1
UC Davis, Davis, CA, USA	1
UQAM, Montreal, Qc. Canada	1
USA	1
Ulsan, Korea	1
Universitat Pompeu Fabra, Barcelona	1
University of Dayton, Dayton, Ohio	1
University of Liège, Liège, Belgium	1
University of Macau, Macau	1
University of Oxford, UK	1
University of Surrey, Guildford, UK	1
University of Twente, The Netherlands	1
VIT University, Vellore	1
Varazdin, Croatia	1
Veliko Tarnovo, Bulgaria	1
Veliky Novgorod, Russia	1
Victoria, BC, Canada	1
Vilnius, Lithuania	1
Volos, Greece	1
Volterra (Pisa) Tuscany	1
West Bengal	1
Yangzhou, China	1
Yogyakarta, Indonesia	1
Yokohama, Japan	1
York, UK	1
Zakopane, Poland	1
