Conference Acronym	Conference Name	Conference Location
SmartData 2016	The 2016 IEEE International Symposium on Smart Data	Chengdu, Sichuan, China
SABID 2016	Workshop on Solar & Stellar Astronomy BIg Data	Washington DC, USA
SDAAM 2017	IEEE Symposium on Data Analytics for Advanced Manufacturing	Washington DC, USA
IC-ININFO 2016	International Conference on Integrated Information	Athens, Greece
MSA 2016	Multivariate Statistical Analysis MSA 2016	Łódź, Poland
ACM SAC-RS 2017	ACM SIGAPP Symposium On Applied Computing 2017 - Track on Recommender Systems: Theory and Applications	Marrakesh, Morrocco
DATA STREAMS TRACK 2017	DATA STREAMS TRACK - ACM SAC 2017	Marrakesh, Morrocco
CSTSC 2016	Workshop on AppliCations, Services and Techniques related to Smart City	Gran Canaria, Spain, Europe
MindCare 2016	6th EAI International Symposium on Pervasive Computing Paradigms for Mental Health	Barcelona, Spain
SPIE-ICGIP 2016	SPIE--The 2016 8th International Conference on Graphic and Image Processing (ICGIP 2016)--Ei & Scopus	Tokyo, Japan
ADMA 2016	Advanced Data Mining and Applications	Gold Coast
MDDM 2016	1st International Workshop on Maritime Domain Data Mining at ICDM 2016	Barcelona, Spain
SoMeRis 2016	2nd International ICDM Workshop on Data Science for Social Media and Risk (SoMeRis 2016)	Barcelona, Spain
WiML 2016	11th Workshop for Women in Machine Learning, Co-located with NIPS	Barcelona, Spain
ICKET 2016	2016 the 5th International Conference on Knowledge and Education Technology (ICKET 2016)	Hertfordshire, UK
CyberSafety 2016	1st International Workshop on Computational Methods for CyberSafety	Indianapolis, IN
MLPM 2016	Special Session on Machine Learning for Predictive Models in Engineering Applications - IEEE ICMLA 2016	California, USA
serecsys 2016	ICDM 2016 Workshop on Semantics-Enabled Recommender Systems (SERecSys)	Barcelona, Spain
AECIA 2016	Third International Afro-European Conference for Industrial Advancement	Marrakesh, Morrocco
BigDF 2016	IEEE International Workshop on Foundations of Big Data Computing	Hyderabad, India
DaMNet 2016	The Sixth IEEE ICDM Workshop on Data Mining in Networks	Barcelona, Spain
DSBDA 2016	The Fourth ICDM Workshop on Data Science and Big Data Analytics	Barcelona, Spain
DMS 2016	IEEE International Workshop on Data Mining for Service	Barcelona, Spain
WSDM 2017	International Conference on Web Search and Data Mining	Cambridge, UK
IEEE ICKEA 2016	2016 3rd International Conference on Knowledge Engineering and Applications (ICKEA 2016)	Singapore
DMIoT 2016	The First Workshop on Data Mining for Internet of Things (DMIoT 2016) held in conjunction with the IEEE International Conference on Data Mining series (ICDM)	Barcelona, Spain
IEEE HPSC 2016	The 3rd IEEE International Conference on High Performance and Smart Computing	Shenzhen, China
DAPS 2016	Data mining for the Analysis of Performance and Success	Barcelona, Spain
ALatIKNOW 2016	Active Learning: Applications, Foundations and Emerging Trends	Graz, Austria
DAVA 2016	2nd International Workshop on DAta mining meets Visual Analytics at big data era In Conjunction with CIKM 2016	Indianapolis, USA
GOODTECHS 2016	Special Track on Open Challanges in Online Social Networks@GOODTECHS 2016	Venice, Italy
IWBDS 2016	International Workshop on Big Data of Services	Shanghai, China
ISDSA 2016	First International Symposium on Data Science and Applications	Milan, Italy
PAIS'2016	The 2nd International Conference on Pattern Analysis and Intelligent Systems	Khenchela, Algeria
SoDM 2016	Special Session on Data Mining (in conjunction with CIIS 2016)	Institut Teknologi Brunei, Brunei
CIIS 2016	Computational Intelligence in Information Systems	Brunei
SSCI 2016	2016 IEEE Symposium on Computational Intelligence in Dynamic and Uncertain Environments	Athens, Greece
DARE 2016	ECML/PKDD 2016, 4th International Workshop on Data Analytics for Renewable Energy Integration	Riva del Garda, Italy
SSDM 2017	The 2nd ECML/PKDD 2016 workshop on Statistically Sound Data Mining	Riva del Garda, Italy
BDTA 2016	7th EAI International Conference on Big Data Technologies and Applications	Seoul, South Korea
MIDAS 2016	The First Workshop on MIning DAta for financial applicationS @ECML-PKDD 2016	Riva del Garda, Italy
ICDIM 2016	Eleventh International Conference on Digital Information Management	Porto, Portugal
ISCMI 2016	3rd Intl. Conference on Soft Computing & Machine Intelligence	Dubai, UAE
SIMBig 2016	3rd Annual International Symposium on Information Management and Big Data	Cusco, Peru
MLSA 2016	Machine Learning and Data Mining for Sports Analytics (MLSA 16) @ ECML/PKDD 2016	Riva del Garda, Italy
SSDM 2016	The 2nd ECML/PKDD Workshop on Statistically Sound Data Mining	Riva del Garda, Italy
UCC - IDP 2016	UCC - IDP 2016: The 5th International Workshop on Intelligent Data Processing	Shanghai, China
RTIS 2016	First International Conference on Real Time Intelligent Systems (RTIS 2016)	Beijing, China
MWDHealth 2016	The International Workshop on Mining Wearable Data for Healthcare	Chicago, Illinois, USA
AFRICOMM 2016	8th EAI International Conference on e‐Infrastructure and e‐Services for Developing Countries	Ouagadougou, Burkina Faso, West Africa
ICACTE 2016	2016 9th International Conference on Advanced Computer Theory and Engineering (ICACTE 2016)	Hong Kong, China
BigData 2016	The Third International Conference on Data Mining, Internet Computing, and Big Data	Mevlana University
SNMAM 2016	Track on Social Network and Media Analysis and Mining	Cusco, Peru
ACIS 2016	The Fifth Asian Conference on Information Systems	Krabi, Thailand
TIME 2016	23rd International Symposium on Temporal Representation and Reasoning	Copenhagen, Denmark
COMPRAIL 2016	15th International Conference on Railway Engineering Design and Operation	Madrid, Spain
ICDM 2016	The IEEE International Conference on Data Mining	Barcelona, Spain
LWDA/KDML 2016	Workshop on Knowledge Discovery, Data Mining and Machine Learning	Potsdam, Germany
frontiersQS 2016	New Frontiers of Quantified Self 2 Workshop @ UbiComp '16	Heidelberg
EEML 2016	Third International Workshop on Experimental Economics and Machine Learning	Moscow, Russia
IIP 2016	9th International Conference on Intelligent Infoemation Processing	Melbourne, VIC, Australia
IJCRS 2016	International Joint Conference on Rough Sets	Santiago, Chile
IDEAL 2016	17th International Conference on Intelligent Data Engineering and Automated Learning	Yangzhou, China
COREDEMA @ ECAI 2016	2nd International Workshop on Conflict Resolution in Decision Making	The Hague, The Netherlands
DIPDMWC 2016	The Third International Conference on Digital Information Processing, Data Mining, and Wireless Communications	Moscow, Russia
CSPRED 2016	Computer-Supported Peer Review in Education	Raleigh, USA
EdRecSys 2016	International Workshop on Educational Recommender Systems	Omaha, Nebraska, USA
DaMIS 2016	International Workshop on Data Mining on IoT Systems	London, UK
Infer 2016	International Workshop on Inference and Privacy in a Hyperconnected World	Darmstadt, Germany
ISMW FRUCT 2016	International FRUCT conference on Intelligence, Soсial Media and Web	St. Petersburg, Russia
KACSTIT 2016	The 4th Saudi International Conference on Information Technology (Big Data Analysis)	Riyadh, Saudi Arabia
UrbComp 2016	The 5th International Workshop on Urban Computing (in conjuction with KDD'16)	San Francisco, CA, USA
ODD 2016	KDD 2016 Workshop on Outlier Definition, Detection, and Description on Demand	San Francisco, CA, USA
IDEA 2016	KDD 2016 Workshop on Interactive Data Exploration and Analytics (IDEA)	San Francisco, CA, USA
MLG 2016	12th International Workshop on Mining and Learning with Graphs	San Francisco, CA, USA
EI-KDD 2016	KDD 2016 Workshop on Enterprise Intelligence	San Francisco, CA, USA
ICIKM 2016	(ICIKM 2016) The 5th International Conference on Information and Knowledge Management	Beijing, China
CD 2016	The 2016 ACM SIGKDD Workshop on Causal Discovery	San Francisco, CA, USA
AKTS 2016	Special Session on Innovative Applications for Knowledge Transfer Support	Druskininkai, Lithuania
DS 2016	19th International Conference on Discovery Science	Bari, Italy
DIM 2016	The Fifth IEEE International Workshop on Data Integration and Mining	Pittsburgh, Pennsylvania, USA
EnGeoData 2016	Environmental and Geo-spatial Data Analytics - Special Session, DSAA	Montréal, Canada
IEEE DSAA'2016	IEEE DSAA'2016: IEEE International Conference on Data Science and Advanced Analytics	Montréal, Canada
DSAA 2016	IEEE DSAA: Third International Conference on Data Science and Advanced Analytics	Montréal, Canada
CCIA 2016	19 th International Conference of the Catalan Association for Artificial Intelligence	Universitat Pompeu Fabra, Barcelona
TGC@ICONIP 2016	Special session on Topological & Graph-based Clustering,	Kyoto, Japan
EANN 2016	17th International Conference on Engineering Applications of Neural Networks	Aberdeen, Scotland, UK
KES-MDA 2016	KES 2016 Invited Session on Machine Learning for Multimedia Data Analysis	York, UK
ITCSE 2016	Fifth International Conference on Information Technology Convergence and Services	Sydney, Australia
SMLIR 2016	2nd Workshop on Tools and Technologies in Statistics, Machine Learning and Information Retrieval	Thessaloniki, Greece
MHDW 2016	5th Mining Humanistic Data Workshop	Thessaloniki, Greece
ICCCBDA 2016	2016 International Conference on Cloud Computing and Big Data Analysis (ICCCBDA 2016)-EI,IEEE	Chengdu, Sichuan, China
ICDDM 2016	EI Compendex--2016 5th International Workshops on Database and Data Mining (ICDDM 2016)	Chengdu, Sichuan, China
ICKD 2016	Ei Compendex--2016 5th International Workshop on Knowledge Discovery (ICKD 2016)	Chengdu, Sichuan, China
IDA 2016	The 15th International Symposium on Intelligent Data Analysis	Stockholm
ISCBI 2016	4th International Symposium on Computational and Business Intelligence	Olten, Switzerland
DMDB 2016	Third International Conference on Data Mininig and Database	Vienna, Austria
SNAA 2016	The 6th Workshop on Social Network Analysis in Applications	UC Davis, Davis, CA, USA
WCSE-Ei 2016	2016 6th International Workshop on Computer Science and Engineering (WCSE 2016)--EI&SCOPUS	Tokyo, Japan
ITBAM 2016	7th International Conference on Information Technology in Bio- and Medical Informatics	Porto, Portugal
ICCSN-Ei(IEEE) 2016	(IEEE)EI Compendex; SCOPUS--2016 8th International Conference on Communication Software and Networks (Ei 2016)	Beijing, China
DBDM 2016	Fourth International Conference on Database and Data Mining	Dubai, UAE
ICMIP-Ei 2016	EI Compendex--ICMIP 2016 the first International Conference on Multimedia and Image Processing	Bandar Seri Begawan, Brunei
ECML-PKDD 2016	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery	Riva del Garda, Italy
Big Data 2016	International Conference on Big Data	Alicante, Spain
ICIS- 2016	IEEE International Conference in Information Science,Kochi	Kochi, Kerala
ICDSE 2016	IEEE 2016 International Conference on Data Science and Engineering (ICDSE)	Kochi, Kerala
RSDA 2016	The 3rd IEEE International Workshop on Reliability and Security Data Analysis (co-located with DSN 2016)	Toulouse, France
MobiMedia 2016	MOBIMEDIA 2016 9th EAI INTERNATIONAL CONFERENCE ON MOBILE MULTIMEDIA COMMUNICATIONS	Xi'an, China
BIOKDD 2016	Biological Knowledge Discovery and Data Mining	Porto, Portugal
IEEE CSCloud 2016	The 3rd IEEE International Conference on Cyber Security and Cloud Computing	Beijing, China
CLA 2016	The 13th International Conference on Concept Lattices and their Applications	Moscow, Russia
ICDSC 2016	1st IEEE International Conference on Data Science in Cyberspace	Changsha, China
TSP 2016	2016 39th International Conference on Telecommunications and Signal Processing (TSP) - IEEE R8 | IEEE Xplore® | SCOPUS	Vienna, Austria
AMW 2016	The 10th Alberto Mendelzon International Workshop on Foundations of Data Management (AMW 2016)	Panama City, Panama
EDM 2016	International Conference on Educational Data Mining	Raleigh, USA
Sideways - 2016	2nd International Workshop on Social Media World Sensors	Portoroz, Slovenia
DIVAI 2016	11th international scientific conference on Distance Learning in Applied Informatics	Sturovo, Slovakia
ADMI 2016	The Eleventh International Workshop on Agents and Data Mining Interaction	Singapore
ICAD 2016	The 22nd International Conference on Auditory Display	Canberra, Australia
KDD 2016	22nd ACM SIGKDD international conference on knowledge discovery and data mining	San Francisco, CA, USA
IITI 2016	Intelligent Information Technologies for Industry	Rostov-on-Don
IMMM 2016	The Sixth International Conference on Advances in Information Mining and Management	Valencia, Spain
IDAVis 2016	IDAVis 2016: Workshop on intelligent data analytics and visualization	Hangzhou, China
DMDMS 2016	International Workshop on Data Mining for Decision Making Support	Madrid, Spain
WebMiReS 2016	Web Mining and Recommender Systems-PAAMS Special Session	Seville, Spain
ParLearning 2016	The 5th International Workshop on Parallel and Distributed Computing for Large Scale Machine Learning and Big Data Analytics	Chicago, Illinois, USA
HDMM 2016	1st International Workshop on Health Data Management and Mining (HDMM) 2016	Helsinki, Finland
DMS 2016	Seventh International conference on Database Management Systems	Sydney, Australia
SNOW 2016	Third Workshop on Social News on the Web	Montréal, Canada
BigD2M 2016	2nd Workshop on Big Data and Data Mining Challenges on IoT and Pervasive Systems	Madrid, Spain
MLDM 2016	Machine Learning and Data Mining in Pattern Recognition	New York, USA
MPCHS 2016	1st International Workshop on Multi-Perspective Consumer Health Search	Montréal, Canada
Insight 2016	Scientific data as viewed from an aesthetic perspective	Klagenfurt, Austria
FMML 2016	WCCI2016 Special Session on Fuzzy-based methods for machine learning: data preprocessing, learning models and their applications	Vancouver, Canada
PPDMA 2016	IEEE IJCNN/WCCI 2016 Special Session on “Privacy-preserving in Data Mining and Applications”	Vancouver, Canada
SET 2016	IEEE IJCNN/WCCI 2016 Special Session on “Smart Educational Techniques in Big Data Age”	Vancouver, Canada
DKMP 2016	Fourth International Conference on Data Mining & Knowledge Management Process	Dubai, UAE
NCCOCE 2016	National Conference on Challenges and oppourtunities in computer Engineering	Bangalore, India
SDMA 2016	4rth Symposium on Data Mining Applications (SDMA 2016)	Riyadh, Saudi Arabia
(BDM'16) 2016	5Th PAKDD workshop on Bio-Inspired Data Mining - Auckland, NZ.	Auckland, New Zealand
SeCoP 2016	The 3rd International Workshop on Semantic Computing and Personalization (SeCoP 2016)	Dallas, Texas, USA
IWSPA 2016	International Workshop on Security And Privacy Analytics - 2016	New Orleans, USA
HAIS 2016	The 11th International Conference on Hybrid Artificial Intelligence Systems	Seville, Spain
BDQM 2016	The 1st International Workshop on Big Data Quality Management	Dallas, Texas, USA
BigData4Healthcare 2016	1st International Workshop on Big Data Analytics for Healthcare and Well-being	Hong Kong, China
Advances in Learning with Kernels@ESANN 2016	Special session - Advances in Learning with Kernels: Theory and Practice in a World of growing Constraints	Bruges, Belgium
IEEE BigDataService 2016	IEEE International Conference on Big Data Computing Service and Applications	Oxford, UK
Infovis & ML CFP at ESANN 2016	Special session on Information Visualisation and Machine Learning: Techniques, Validation and Integration at ESANN 2016	Bruges, Belgium
FLAIRS 2016	FLAIRS-29: Special Track in Data Mining	Key Largo, FL, USA
FLAIRS-RS 2016	Florida Artificial Intelligence Research Society - RecSys Special Track	Key Largo, FL, USA
ICACI 2016	8th International Conference on Advanced Computational Intelligence	Chiang Mai, Thailand
SANER 2016	23rd IEEE International Conference on Software Analysis, Evolution, and Reengineering	Osaka, Japan
INDIACom-2016(OMSA) 2016	Special Session - Opinion Mining and Sentiment Analysis	New Delhi, India
ITNG 2016	13th Int'l Conf. on Information Technology- New Generations	Las Vegas, Nevada, USA
CODS 2016	ACM IKDD Conference on Data Sciences, 2016	Pune, India
ICDE 2016	International Conference on Data Engineering	Helsinki, Finland
L@S 2016	L@S 2016: Third Annual ACM Conference on Learning at Scale	Edinburgh, Scotland, UK
WWW 2016	International World Wide Web Conferences	Montréal, Canada
SDM 2016	THE SIXTEENTH SIAM INTERNATIONAL CONFERENCE ON DATA MINING	Miami, Florida, USA
ISICS 2016	International Symposium on Intelligent Computing Systems	Mérida, México
NetSciX 2016	2nd International School and Conference on Network Science	Wroclaw, Poland
COMAD 2016	Conference on Management of Data, 2016	Pune, India
PAKDD 2016	The 20th Pacific-Asia Conference on Knowledge Discovery and Data Mining	Auckland, New Zealand
Mine4Dev 2015	1st African Workshop on Open Data and Data Mining for Development	Cotonou, Republic of Benin
JFGG 2016	Journées thématiques : Fouille de grands graphes	Nîmes
IML 2015	Special Session on Incremental Machine Learning	Fukuoka, Japan
ICSH 2015	International Conference for Smart Health	Phoenix, Arizona, USA
ITxOT Analytics 2015	1st Workshop on ITxOT Analytics @ IEEE Big Data 2015	Santa Clara, California, USA
BigGraphs 2015	The Second International Workshop on High Performance Big Graph Data Management, Analysis, and Mining (BigGraphs 2015)	Santa Clara, California, USA
MLPMEA 2015	2015 Workshop on Machine Learning for Predictive Models for Engineering Applications (MLPMEA 2015)	Miami, Florida, USA
EHRW 2015	Electronic Health Record: implementation, data mining, security and user acceptance	Washington DC, USA
BIGDATA-ASH 2015	2nd WORKSHOP ON ADVANCES IN SOFTWARE AND HARDWARE FOR BIG DATA TO KNOWLEDGE DISCOVERY (ASH)	Santa Clara, California, USA
IEEEBDAM 2015	IEEE Workshop on Big Data for Advanced Manufacturing	Santa Clara, California, USA
WoTBD 2015	2015 International Symposium on Web of Things and Big Data	Bahrain
Big Data Workshop 2015	Big Data Mining to Improve Clinical Effectiveness	Santa Clara, California, USA
ASE SocialInformatics 2015	The Fourth ASE International Conference on Social Informatics	Kaohsiung, Taiwan
ASE BigData 2015	The Fifth ASE International Conference on Big Data	Kaohsiung, Taiwan
ICDIM 2015	Tenth International Conference on Digital Information Management	Jeju Island, South Korea
ICDT/EDBT 2016	EDBT/ICDT 2016 Joint Conference	Bordeaux, France
IWFBDC 2015	IEEE International Workshop on Foundations of Big Data Computing	Bangalore, India
ISCBI 2015	3rd International Symposium on Computational and Business Intelligence	Bali, Indonesia
SoDA 2015	Special Session on Data Mining & Its Application 2015 (in Conjuction with IES 2015)	Bangkok, Thailand
GDAM 2015	International Workshop on Graph Data Analysis and Management	Singapore
HADM 2015	ICDM International Workshop on Hardware Accelerated Data Mining	Atlantic City, New Jersey, USA
KDMILE 2015	3rd Symposium on Knowledge Discovery Mining and Learning	Itaipava - Petropolis, Brazil
KDWEB 2015	1st International Workshop on Knowledge Discovery on the WEB	Cagliari, Italy
DMCities 2015	Workshop on Data Mining for Smart Cities 2015	Atlantic City, New Jersey, USA
SABID 2015	Solar Astronomy Big Data - Workshop on Workshop on Management, Search and Mining of Massive Repositories of Solar Astronomy Data	Atlantic City, New Jersey, USA
LWMOOCs 2015	2015 Learning with MOOCs Workshop, Teachers College, Columbia University, New York (Oct 2-3, 2015)	Columbia University, New York, USA
ICDM PhD Forum 2015	IEEE International Conference on Data Mining PhD Forum	Atlantic City, New Jersey, USA
DaMNet 2015	The Fifth IEEE ICDM Workshop on Data Mining in Networks	Atlantic City, New Jersey, USA
INFORMS-DMA 2015	2015 INFORMS Workshop on Data Mining and Analytics	Philadelphia, PA, USA
MobileDM 2015	MobileDM 2015: The First International Workshop on Mobile Data Mining (ICDM 2015)	Atlantic City, New Jersey, USA
CIDM 2015	IEEE Symposium on Computational Intelligence and Data Mining	Cape Town, South Africa
ICAST 2015	IEEE 7th International Conference on Awareness Science and Technology	Qinhuangdao
ICMLA 2015	International Conference on Machine Learning and Applications	Miami, Florida, USA
AECIA 2015	Second International Afro-European Conference for Industrial Advancement	Paris, Villejuif, France
DTMBio 2015	Data and Text Mining in Bioinformatics	Melbourne, VIC, Australia
DTMBIO 2015	Data and Text Mining in Bioinformatics	Melbourne, VIC, Australia
ACTION15	Actionable Analytics for SE	Lincoln, Nebraska
LWA/KDML 2015	Workshop on Knowledge Discovery, Data Mining and Machine Learning	Trier, Germany
PDCKDD 2015	Workshop on Parallel and Distributed Computing for Knowledge Discovery in Data Bases	Porto, Portugal
ECML/PKDD 2015	ECML'2015 Workshop on Advanced Analytics and Learning on Temporal Data	Porto, Portugal
ECML-AALTD 2015	Advanced Analytics and Learning on Temporal Data	Porto, Portugal
ECML MLLS 2015	2nd Workshop on Machine Learning in Life Sciences	Porto, Portugal
MLSA 2015	Machine Learning and Data Mining for Sports Analytics (MLSA 15) @ ECML/PKDD 2015	Porto, Portugal
MUSE 2015	6th International Workshop on Mining Ubiquitious and Social Environments	Porto, Portugal
Big Data 2015	The 3rd International Workshop on Big Data	Xi'an, China
ICICSE 2015	3rd International Conference on Innovations in Computer Science & Engineering	Guru Nanak Institutions, Hyderabad, India
SIDEWAYS 2015	International Workshop on Social Media World Sensors	Cyprus
HealthDENSE 2015	IEEE CAMAD 2015 : Special Session on Healthcare Data Mining in Sensor Networks (HealthDENSE)	University of Surrey, Guildford, UK
ODDx3 2015	KDD 2015 Workshop on Outlier Definition, Detection, and Description	Sydney, Australia
SRS 2015	6th International Workshop on Social Recommender Systems (SRS 2015) - KDD'15	Sydney, Australia
IDEAL 2015	The 16th International Conference on Intelligent Data Engineering and Automated Learning	Wroclaw, Poland
BIGDATA 2015	The Second International Conference on Data Mining, Internet Computing, and Big Data (BigData2015)	Reduit, Mauritius
MoReBikeS Challenge 2015	MoReBikeS: 2015 ECML-PKDD Challenge on Model Reuse with Bike rental Station data	Porto, Portugal
CyberC 2015	The 7th International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery	Xi'an, China
IDEA 2015	KDD 2015 Workshop on Interactive Data Exploration and Analysis	Sydney, Australia
TSCT 2015	Special Session on Trends in Soft Computing Techniques	West Bengal
SEDE 2015	24th International Conference on Software Engineering and Data Engineering	San Diego, CA, USA
MobiArch 2015	10th ACM Workshop on Mobility in the Evolving Internet Architecture	Paris, France
EMACOM 2015	European-Middle Asian Conference on Computer Modelling	Issyk Kul, Kyrgyzstan
DIM 2015	The Fourth IEEE International Workshop on Data Integration and Mining	San Francisco, CA, USA
DSAA 2015	IEEE International Conference on Data Science and Advanced Analytics (DSAA 2015)	Paris, France
MHDW 2015	4th Mining Humanistic Data Workshop	Island of Rhodes, GREECE
MANEM 2015	First International workshop on Multiplex & Attributed Networks Mining	Paris, France
SSML 2015	AERFAI/INIT Summer School on Machine Learning	Benicàssim, Spain
GID 2015	ADBIS workshop on GPUs in Databases	Poitiers, France
CIKM 2015	Conference on Information and Knowledge Management	Melbourne, VIC, Australia
IDA 2015	The 14th International Symposium on Intelligent Data Analysis	Saint-Etienne, France
FEAST 2015	ICML Workshop on Features and Structures	Lille, France
JCSSE 2015	The 12th International Joint Conference on Computer Science and Software Engineering	Hatyai, Thailand
GTM 2015	5th Global TechMining Conference	Atlanta, Georgia, USA
SNAA 2015	The 5th Workshop on Social Network Analysis in Applications	Paris, France
DPBA 2015	International Workshop on Data-driven and Predictive Business Analytics (DPBA 2015), coheld with EDOC 2015	Adelaide, Australia
IEEE CPBG 2015	The 1st IEEE International Workshop on Classification Problems Embedded in the Nature of Big Data	Helsinki, Finland
